Cluster,Description,Centroid
0,Cluster 0 - New or Inactive Riders,"[-0.5613255057087135, -0.5116652523282358, -0.5490366045100297]"
1,Cluster 1 - Occasional Riders,"[-0.331352921729093, -0.08828404452924014, 2.0213410791011497]"
2,Cluster 2 - Moderately Active Riders,"[0.33114421614031864, 0.15305083838559377, 0.004943551055096203]"
3,Cluster 3 - Regular Riders,"[1.805786173563522, 1.4987937279199854, 0.599101585896601]"
4,Cluster 4 - Highly Active Riders,"[3.5249316843684024, 4.2886416963982255, 2.2600316284858875]"
